t	error
0	0
0.03125	3.85371e-10
0.0625	7.41293e-10
0.09375	1.06629e-09
0.125	1.35944e-09
0.15625	1.62038e-09
0.1875	1.84922e-09
0.21875	2.04659e-09
0.25	2.21353e-09
0.28125	2.35144e-09
0.3125	2.46208e-09
0.34375	2.54743e-09
0.375	2.6097e-09
0.40625	2.65121e-09
0.4375	2.67438e-09
0.46875	2.68167e-09
0.5	2.6755e-09
0.53125	2.65823e-09
0.5625	2.63211e-09
0.59375	2.59928e-09
0.625	2.56168e-09
0.65625	2.5211e-09
0.6875	2.47911e-09
0.71875	2.43709e-09
0.75	2.39621e-09
0.78125	2.35745e-09
0.8125	2.32156e-09
0.84375	2.28917e-09
0.875	2.2607e-09
0.90625	2.23646e-09
0.9375	2.21662e-09
0.96875	2.20129e-09
1	2.1905e-09
1.03125	2.18423e-09
1.0625	2.18246e-09
1.09375	2.18514e-09
1.125	2.19221e-09
1.15625	2.20354e-09
1.1875	2.21893e-09
1.21875	2.23794e-09
1.25	2.25974e-09
1.28125	2.28283e-09
1.3125	2.30466e-09
1.34375	2.32101e-09
1.375	2.32516e-09
1.40625	2.3067e-09
1.4375	2.24983e-09
1.46875	2.13104e-09
1.5	1.91583e-09
1.53125	1.55429e-09
1.5625	9.74862e-10
1.59375	7.5951e-11
1.625	1.28569e-09
1.65625	3.31078e-09
1.6875	6.27915e-09
1.71875	1.05792e-08
1.75	1.67483e-08
1.78125	2.55277e-08
1.8125	3.79376e-08
1.84375	5.53795e-08
1.875	7.97768e-08
1.90625	1.13766e-07
1.9375	1.60958e-07
1.96875	2.26303e-07
2	3.16577e-07
