t	error
0	0
0.0625	0.00238602
0.125	0.00217106
0.1875	0.00202776
0.25	0.00186799
0.3125	0.00170348
0.375	0.00154071
0.4375	0.00138488
0.5	0.00124
0.5625	0.00110913
0.625	0.000994617
0.6875	0.000898349
0.75	0.000822001
0.8125	0.000767304
0.875	0.000736327
0.9375	0.000731793
1	0.000757465
1.0625	0.000818622
1.125	0.000922695
1.1875	0.00108013
1.25	0.00130561
1.3125	0.00161974
1.375	0.00205154
1.4375	0.00264206
1.5	0.00344965
1.5625	0.00455787
1.625	0.00608734
1.6875	0.00821367
1.75	0.011195
1.8125	0.0154144
1.875	0.0214467
1.9375	0.0301632
2	0.0429002
