t	y
0	1
0.0625	0.93125
0.125	0.869931
0.1875	0.813392
0.25	0.761671
0.3125	0.714653
0.375	0.672192
0.4375	0.634119
0.5	0.600257
0.5625	0.570429
0.625	0.544469
0.6875	0.522228
0.75	0.503583
0.8125	0.488446
0.875	0.476763
0.9375	0.468531
1	0.463802
1.0625	0.462691
1.125	0.465394
1.1875	0.472202
1.25	0.483524
1.3125	0.499912
1.375	0.522106
1.4375	0.551077
1.5	0.588106
1.5625	0.634868
1.625	0.693572
1.6875	0.767134
1.75	0.859432
1.8125	0.975658
1.875	1.12282
1.9375	1.31048
2	1.55177
