Radius	Temperature
0	125.878
0.000977517	125.878
0.00195503	125.878
0.00293255	125.877
0.00391007	125.876
0.00488759	125.875
0.0058651	125.874
0.00684262	125.873
0.00782014	125.871
0.00879765	125.869
0.00977517	125.867
0.0107527	125.865
0.0117302	125.862
0.0127077	125.859
0.0136852	125.856
0.0146628	125.853
0.0156403	125.849
0.0166178	125.845
0.0175953	125.841
0.0185728	125.837
0.0195503	125.832
0.0205279	125.828
0.0215054	125.823
0.0224829	125.817
0.0234604	125.812
0.0244379	125.806
0.0254154	125.8
0.026393	125.794
0.0273705	125.788
0.028348	125.781
0.0293255	125.774
0.030303	125.767
0.0312805	125.759
0.0322581	125.752
0.0332356	125.744
0.0342131	125.736
0.0351906	125.727
0.0361681	125.719
0.0371457	125.71
0.0381232	125.701
0.0391007	125.691
0.0400782	125.682
0.0410557	125.672
0.0420332	125.662
0.0430108	125.652
0.0439883	125.641
0.0449658	125.631
0.0459433	125.62
0.0469208	125.608
0.0478983	125.597
0.0488759	125.585
0.0498534	125.573
0.0508309	125.561
0.0518084	125.549
0.0527859	125.536
0.0537634	125.523
0.054741	125.51
0.0557185	125.497
0.056696	125.483
0.0576735	125.469
0.058651	125.455
0.0596285	125.441
0.0606061	125.426
0.0615836	125.411
0.0625611	125.396
0.0635386	125.381
0.0645161	125.365
0.0654936	125.35
0.0664712	125.334
0.0674487	125.317
0.0684262	125.301
0.0694037	125.284
0.0703812	125.267
0.0713587	125.25
0.0723363	125.233
0.0733138	125.215
0.0742913	125.197
0.0752688	125.179
0.0762463	125.16
0.0772239	125.142
0.0782014	125.123
0.0791789	125.104
0.0801564	125.084
0.0811339	125.065
0.0821114	125.045
0.083089	125.025
0.0840665	125.005
0.085044	124.984
0.0860215	124.963
0.086999	124.942
0.0879765	124.921
0.0889541	124.9
0.0899316	124.878
0.0909091	124.856
0.0918866	124.834
0.0928641	124.811
0.0938416	124.788
0.0948192	124.766
0.0957967	124.742
0.0967742	124.719
0.0977517	124.695
0.0987292	124.671
0.0997067	124.647
0.100684	124.623
0.101662	124.598
0.102639	124.573
0.103617	124.548
0.104594	124.523
0.105572	124.498
0.106549	124.472
0.107527	124.446
0.108504	124.419
0.109482	124.393
0.110459	124.366
0.111437	124.339
0.112414	124.312
0.113392	124.284
0.11437	124.257
0.115347	124.229
0.116325	124.201
0.117302	124.172
0.11828	124.144
0.119257	124.115
0.120235	124.085
0.121212	124.056
0.12219	124.026
0.123167	123.997
0.124145	123.966
0.125122	123.936
0.1261	123.906
0.127077	123.875
0.128055	123.844
0.129032	123.812
0.13001	123.781
0.130987	123.749
0.131965	123.717
0.132942	123.685
0.13392	123.652
0.134897	123.62
0.135875	123.587
0.136852	123.553
0.13783	123.52
0.138807	123.486
0.139785	123.452
0.140762	123.418
0.14174	123.384
0.142717	123.349
0.143695	123.314
0.144673	123.279
0.14565	123.244
0.146628	123.208
0.147605	123.172
0.148583	123.136
0.14956	123.1
0.150538	123.064
0.151515	123.027
0.152493	122.99
0.15347	122.952
0.154448	122.915
0.155425	122.877
0.156403	122.839
0.15738	122.801
0.158358	122.763
0.159335	122.724
0.160313	122.685
0.16129	122.646
0.162268	122.606
0.163245	122.567
0.164223	122.527
0.1652	122.487
0.166178	122.446
0.167155	122.406
0.168133	122.365
0.16911	122.324
0.170088	122.282
0.171065	122.241
0.172043	122.199
0.173021	122.157
0.173998	122.115
0.174976	122.072
0.175953	122.029
0.176931	121.986
0.177908	121.943
0.178886	121.9
0.179863	121.856
0.180841	121.812
0.181818	121.768
0.182796	121.723
0.183773	121.679
0.184751	121.634
0.185728	121.589
0.186706	121.543
0.187683	121.498
0.188661	121.452
0.189638	121.406
0.190616	121.359
0.191593	121.313
0.192571	121.266
0.193548	121.219
0.194526	121.172
0.195503	121.124
0.196481	121.076
0.197458	121.028
0.198436	120.98
0.199413	120.931
0.200391	120.883
0.201369	120.834
0.202346	120.785
0.203324	120.735
0.204301	120.685
0.205279	120.635
0.206256	120.585
0.207234	120.535
0.208211	120.484
0.209189	120.433
0.210166	120.382
0.211144	120.331
0.212121	120.279
0.213099	120.227
0.214076	120.175
0.215054	120.123
0.216031	120.071
0.217009	120.018
0.217986	119.965
0.218964	119.911
0.219941	119.858
0.220919	119.804
0.221896	119.75
0.222874	119.696
0.223851	119.641
0.224829	119.587
0.225806	119.532
0.226784	119.477
0.227761	119.421
0.228739	119.366
0.229717	119.31
0.230694	119.254
0.231672	119.197
0.232649	119.141
0.233627	119.084
0.234604	119.027
0.235582	118.969
0.236559	118.912
0.237537	118.854
0.238514	118.796
0.239492	118.738
0.240469	118.679
0.241447	118.62
0.242424	118.561
0.243402	118.502
0.244379	118.443
0.245357	118.383
0.246334	118.323
0.247312	118.263
0.248289	118.202
0.249267	118.142
0.250244	118.081
0.251222	118.019
0.252199	117.958
0.253177	117.896
0.254154	117.835
0.255132	117.772
0.256109	117.71
0.257087	117.648
0.258065	117.585
0.259042	117.522
0.26002	117.458
0.260997	117.395
0.261975	117.331
0.262952	117.267
0.26393	117.203
0.264907	117.138
0.265885	117.073
0.266862	117.008
0.26784	116.943
0.268817	116.878
0.269795	116.812
0.270772	116.746
0.27175	116.68
0.272727	116.614
0.273705	116.547
0.274682	116.48
0.27566	116.413
0.276637	116.346
0.277615	116.278
0.278592	116.21
0.27957	116.142
0.280547	116.074
0.281525	116.005
0.282502	115.936
0.28348	115.867
0.284457	115.798
0.285435	115.729
0.286413	115.659
0.28739	115.589
0.288368	115.519
0.289345	115.448
0.290323	115.377
0.2913	115.306
0.292278	115.235
0.293255	115.164
0.294233	115.092
0.29521	115.02
0.296188	114.948
0.297165	114.876
0.298143	114.803
0.29912	114.73
0.300098	114.657
0.301075	114.584
0.302053	114.51
0.30303	114.436
0.304008	114.362
0.304985	114.288
0.305963	114.214
0.30694	114.139
0.307918	114.064
0.308895	113.989
0.309873	113.913
0.31085	113.837
0.311828	113.761
0.312805	113.685
0.313783	113.609
0.314761	113.532
0.315738	113.455
0.316716	113.378
0.317693	113.301
0.318671	113.223
0.319648	113.145
