Radius	Temperature
0	25.9756
0.000977517	25.9756
0.00195503	25.9755
0.00293255	25.9754
0.00391007	25.9753
0.00488759	25.9751
0.0058651	25.9748
0.00684262	25.9746
0.00782014	25.9742
0.00879765	25.9738
0.00977517	25.9734
0.0107527	25.9729
0.0117302	25.9724
0.0127077	25.9718
0.0136852	25.9712
0.0146628	25.9705
0.0156403	25.9698
0.0166178	25.9691
0.0175953	25.9683
0.0185728	25.9674
0.0195503	25.9665
0.0205279	25.9655
0.0215054	25.9645
0.0224829	25.9635
0.0234604	25.9624
0.0244379	25.9612
0.0254154	25.96
0.026393	25.9588
0.0273705	25.9575
0.028348	25.9562
0.0293255	25.9548
0.030303	25.9533
0.0312805	25.9519
0.0322581	25.9503
0.0332356	25.9488
0.0342131	25.9471
0.0351906	25.9455
0.0361681	25.9437
0.0371457	25.942
0.0381232	25.9402
0.0391007	25.9383
0.0400782	25.9364
0.0410557	25.9344
0.0420332	25.9324
0.0430108	25.9304
0.0439883	25.9283
0.0449658	25.9261
0.0459433	25.9239
0.0469208	25.9217
0.0478983	25.9194
0.0488759	25.917
0.0498534	25.9146
0.0508309	25.9122
0.0518084	25.9097
0.0527859	25.9072
0.0537634	25.9046
0.054741	25.902
0.0557185	25.8993
0.056696	25.8966
0.0576735	25.8938
0.058651	25.891
0.0596285	25.8881
0.0606061	25.8852
0.0615836	25.8823
0.0625611	25.8792
0.0635386	25.8762
0.0645161	25.8731
0.0654936	25.8699
0.0664712	25.8667
0.0674487	25.8635
0.0684262	25.8602
0.0694037	25.8568
0.0703812	25.8534
0.0713587	25.85
0.0723363	25.8465
0.0733138	25.843
0.0742913	25.8394
0.0752688	25.8358
0.0762463	25.8321
0.0772239	25.8284
0.0782014	25.8246
0.0791789	25.8208
0.0801564	25.8169
0.0811339	25.813
0.0821114	25.809
0.083089	25.805
0.0840665	25.8009
0.085044	25.7968
0.0860215	25.7927
0.086999	25.7885
0.0879765	25.7842
0.0889541	25.7799
0.0899316	25.7756
0.0909091	25.7712
0.0918866	25.7667
0.0928641	25.7622
0.0938416	25.7577
0.0948192	25.7531
0.0957967	25.7485
0.0967742	25.7438
0.0977517	25.7391
0.0987292	25.7343
0.0997067	25.7295
0.100684	25.7246
0.101662	25.7197
0.102639	25.7147
0.103617	25.7097
0.104594	25.7046
0.105572	25.6995
0.106549	25.6943
0.107527	25.6891
0.108504	25.6839
0.109482	25.6786
0.110459	25.6732
0.111437	25.6678
0.112414	25.6624
0.113392	25.6569
0.11437	25.6513
0.115347	25.6458
0.116325	25.6401
0.117302	25.6344
0.11828	25.6287
0.119257	25.6229
0.120235	25.6171
0.121212	25.6112
0.12219	25.6053
0.123167	25.5993
0.124145	25.5933
0.125122	25.5872
0.1261	25.5811
0.127077	25.575
0.128055	25.5687
0.129032	25.5625
0.13001	25.5562
0.130987	25.5498
0.131965	25.5434
0.132942	25.537
0.13392	25.5305
0.134897	25.5239
0.135875	25.5173
0.136852	25.5107
0.13783	25.504
0.138807	25.4973
0.139785	25.4905
0.140762	25.4837
0.14174	25.4768
0.142717	25.4698
0.143695	25.4629
0.144673	25.4558
0.14565	25.4488
0.146628	25.4417
0.147605	25.4345
0.148583	25.4273
0.14956	25.42
0.150538	25.4127
0.151515	25.4053
0.152493	25.3979
0.15347	25.3905
0.154448	25.383
0.155425	25.3754
0.156403	25.3678
0.15738	25.3602
0.158358	25.3525
0.159335	25.3448
0.160313	25.337
0.16129	25.3291
0.162268	25.3213
0.163245	25.3133
0.164223	25.3053
0.1652	25.2973
0.166178	25.2892
0.167155	25.2811
0.168133	25.273
0.16911	25.2647
0.170088	25.2565
0.171065	25.2482
0.172043	25.2398
0.173021	25.2314
0.173998	25.2229
0.174976	25.2144
0.175953	25.2059
0.176931	25.1973
0.177908	25.1886
0.178886	25.1799
0.179863	25.1712
0.180841	25.1624
0.181818	25.1536
0.182796	25.1447
0.183773	25.1357
0.184751	25.1268
0.185728	25.1177
0.186706	25.1086
0.187683	25.0995
0.188661	25.0904
0.189638	25.0811
0.190616	25.0719
0.191593	25.0625
0.192571	25.0532
0.193548	25.0438
0.194526	25.0343
0.195503	25.0248
0.196481	25.0152
0.197458	25.0056
0.198436	24.996
0.199413	24.9863
0.200391	24.9765
0.201369	24.9668
0.202346	24.9569
0.203324	24.947
0.204301	24.9371
0.205279	24.9271
0.206256	24.9171
0.207234	24.907
0.208211	24.8969
0.209189	24.8867
0.210166	24.8765
0.211144	24.8662
0.212121	24.8559
0.213099	24.8455
0.214076	24.8351
0.215054	24.8246
0.216031	24.8141
0.217009	24.8035
0.217986	24.7929
0.218964	24.7823
0.219941	24.7716
0.220919	24.7608
0.221896	24.75
0.222874	24.7392
0.223851	24.7283
0.224829	24.7174
0.225806	24.7064
0.226784	24.6953
0.227761	24.6842
0.228739	24.6731
0.229717	24.6619
0.230694	24.6507
0.231672	24.6394
0.232649	24.6281
0.233627	24.6167
0.234604	24.6053
0.235582	24.5939
0.236559	24.5823
0.237537	24.5708
0.238514	24.5592
0.239492	24.5475
0.240469	24.5358
0.241447	24.524
0.242424	24.5122
0.243402	24.5004
0.244379	24.4885
0.245357	24.4766
0.246334	24.4646
0.247312	24.4525
0.248289	24.4404
0.249267	24.4283
0.250244	24.4161
0.251222	24.4039
0.252199	24.3916
0.253177	24.3793
0.254154	24.3669
0.255132	24.3545
0.256109	24.342
0.257087	24.3295
0.258065	24.3169
0.259042	24.3043
0.26002	24.2917
0.260997	24.279
0.261975	24.2662
0.262952	24.2534
0.26393	24.2405
0.264907	24.2276
0.265885	24.2147
0.266862	24.2017
0.26784	24.1887
0.268817	24.1756
0.269795	24.1624
0.270772	24.1492
0.27175	24.136
0.272727	24.1227
0.273705	24.1094
0.274682	24.096
0.27566	24.0826
0.276637	24.0691
0.277615	24.0556
0.278592	24.042
0.27957	24.0284
0.280547	24.0147
0.281525	24.001
0.282502	23.9873
0.28348	23.9735
0.284457	23.9596
0.285435	23.9457
0.286413	23.9318
0.28739	23.9178
0.288368	23.9037
0.289345	23.8896
0.290323	23.8755
0.2913	23.8613
0.292278	23.847
0.293255	23.8328
0.294233	23.8184
0.29521	23.8041
0.296188	23.7896
0.297165	23.7751
0.298143	23.7606
0.29912	23.746
0.300098	23.7314
0.301075	23.7168
0.302053	23.702
0.30303	23.6873
0.304008	23.6725
0.304985	23.6576
0.305963	23.6427
0.30694	23.6278
0.307918	23.6128
0.308895	23.5977
0.309873	23.5826
0.31085	23.5675
0.311828	23.5523
0.312805	23.537
0.313783	23.5217
0.314761	23.5064
0.315738	23.491
0.316716	23.4756
0.317693	23.4601
0.318671	23.4446
0.319648	23.429
0.320626	23.4134
0.321603	23.3977
0.322581	23.382
0.323558	23.3662
0.324536	23.3504
0.325513	23.3345
0.326491	23.3186
0.327468	23.3027
0.328446	23.2867
0.329423	23.2706
0.330401	23.2545
0.331378	23.2384
0.332356	23.2222
0.333333	23.2059
0.334311	23.1896
0.335288	23.1733
0.336266	23.1569
0.337243	23.1405
0.338221	23.124
0.339198	23.1075
0.340176	23.0909
0.341153	23.0743
0.342131	23.0576
0.343109	23.0409
0.344086	23.0241
0.345064	23.0073
0.346041	22.9904
0.347019	22.9735
0.347996	22.9565
0.348974	22.9395
0.349951	22.9225
0.350929	22.9054
0.351906	22.8882
0.352884	22.871
0.353861	22.8538
0.354839	22.8365
0.355816	22.8191
0.356794	22.8017
0.357771	22.7843
0.358749	22.7668
0.359726	22.7493
0.360704	22.7317
0.361681	22.7141
0.362659	22.6964
0.363636	22.6787
0.364614	22.6609
0.365591	22.6431
0.366569	22.6252
0.367546	22.6073
0.368524	22.5893
0.369501	22.5713
0.370479	22.5532
0.371457	22.5351
0.372434	22.517
0.373412	22.4988
0.374389	22.4805
0.375367	22.4622
0.376344	22.4439
0.377322	22.4255
0.378299	22.4071
0.379277	22.3886
0.380254	22.37
0.381232	22.3514
0.382209	22.3328
0.383187	22.3141
0.384164	22.2954
0.385142	22.2766
0.386119	22.2578
0.387097	22.2389
0.388074	22.22
0.389052	22.201
0.390029	22.182
0.391007	22.163
0.391984	22.1438
0.392962	22.1247
0.393939	22.1055
0.394917	22.0862
0.395894	22.0669
0.396872	22.0476
0.397849	22.0282
0.398827	22.0087
0.399804	21.9892
0.400782	21.9697
0.40176	21.9501
0.402737	21.9305
0.403715	21.9108
0.404692	21.8911
0.40567	21.8713
0.406647	21.8515
0.407625	21.8316
0.408602	21.8117
0.40958	21.7917
0.410557	21.7717
0.411535	21.7516
0.412512	21.7315
0.41349	21.7113
0.414467	21.6911
0.415445	21.6709
0.416422	21.6506
0.4174	21.6302
0.418377	21.6098
0.419355	21.5893
0.420332	21.5689
0.42131	21.5483
0.422287	21.5277
0.423265	21.5071
0.424242	21.4864
0.42522	21.4657
0.426197	21.4449
0.427175	21.424
0.428152	21.4032
0.42913	21.3822
0.430108	21.3613
0.431085	21.3402
0.432063	21.3192
0.43304	21.2981
0.434018	21.2769
0.434995	21.2557
0.435973	21.2344
0.43695	21.2131
0.437928	21.1917
0.438905	21.1703
0.439883	21.1489
0.44086	21.1274
0.441838	21.1058
0.442815	21.0842
0.443793	21.0626
0.44477	21.0409
0.445748	21.0192
0.446725	20.9974
0.447703	20.9756
0.44868	20.9537
0.449658	20.9317
0.450635	20.9098
0.451613	20.8877
0.45259	20.8657
0.453568	20.8435
0.454545	20.8214
0.455523	20.7992
0.4565	20.7769
0.457478	20.7546
0.458456	20.7322
0.459433	20.7098
0.460411	20.6874
0.461388	20.6649
0.462366	20.6423
0.463343	20.6197
0.464321	20.5971
0.465298	20.5744
0.466276	20.5516
0.467253	20.5288
0.468231	20.506
0.469208	20.4831
0.470186	20.4602
0.471163	20.4372
0.472141	20.4142
0.473118	20.3911
0.474096	20.368
