Radius	Temperature
0	250.756
0.000977517	250.756
0.00195503	250.755
0.00293255	250.754
0.00391007	250.753
0.00488759	250.751
0.0058651	250.748
0.00684262	250.746
0.00782014	250.742
0.00879765	250.738
0.00977517	250.734
0.0107527	250.729
0.0117302	250.724
0.0127077	250.718
0.0136852	250.712
0.0146628	250.705
0.0156403	250.698
0.0166178	250.691
0.0175953	250.683
0.0185728	250.674
0.0195503	250.665
0.0205279	250.655
0.0215054	250.645
0.0224829	250.635
0.0234604	250.624
0.0244379	250.612
0.0254154	250.6
0.026393	250.588
0.0273705	250.575
0.028348	250.562
0.0293255	250.548
0.030303	250.533
0.0312805	250.519
0.0322581	250.503
0.0332356	250.488
0.0342131	250.471
0.0351906	250.455
0.0361681	250.437
0.0371457	250.42
0.0381232	250.402
0.0391007	250.383
0.0400782	250.364
0.0410557	250.344
0.0420332	250.324
0.0430108	250.304
0.0439883	250.283
0.0449658	250.261
0.0459433	250.239
0.0469208	250.217
0.0478983	250.194
0.0488759	250.17
0.0498534	250.146
0.0508309	250.122
0.0518084	250.097
0.0527859	250.072
0.0537634	250.046
0.054741	250.02
0.0557185	249.993
0.056696	249.966
0.0576735	249.938
0.058651	249.91
0.0596285	249.881
0.0606061	249.852
0.0615836	249.823
0.0625611	249.792
0.0635386	249.762
0.0645161	249.731
0.0654936	249.699
0.0664712	249.667
0.0674487	249.635
0.0684262	249.602
0.0694037	249.568
0.0703812	249.534
0.0713587	249.5
0.0723363	249.465
0.0733138	249.43
0.0742913	249.394
0.0752688	249.358
0.0762463	249.321
0.0772239	249.284
0.0782014	249.246
0.0791789	249.208
0.0801564	249.169
0.0811339	249.13
0.0821114	249.09
0.083089	249.05
0.0840665	249.009
0.085044	248.968
0.0860215	248.927
0.086999	248.885
0.0879765	248.842
0.0889541	248.799
0.0899316	248.756
0.0909091	248.712
0.0918866	248.667
0.0928641	248.622
0.0938416	248.577
0.0948192	248.531
0.0957967	248.485
0.0967742	248.438
0.0977517	248.391
0.0987292	248.343
0.0997067	248.295
0.100684	248.246
0.101662	248.197
0.102639	248.147
0.103617	248.097
0.104594	248.046
0.105572	247.995
0.106549	247.943
0.107527	247.891
0.108504	247.839
0.109482	247.786
0.110459	247.732
0.111437	247.678
0.112414	247.624
0.113392	247.569
0.11437	247.513
0.115347	247.458
0.116325	247.401
0.117302	247.344
0.11828	247.287
0.119257	247.229
0.120235	247.171
0.121212	247.112
0.12219	247.053
0.123167	246.993
0.124145	246.933
0.125122	246.872
0.1261	246.811
0.127077	246.75
0.128055	246.687
0.129032	246.625
0.13001	246.562
0.130987	246.498
0.131965	246.434
0.132942	246.37
0.13392	246.305
0.134897	246.239
0.135875	246.173
0.136852	246.107
0.13783	246.04
