t	x	error
0	1	0
0.1	0.996254	0.00120864
0.2	0.988627	0.00823205
0.3	0.979592	0.0231617
0.4	0.970088	0.0464671
0.5	0.960467	0.0779597
0.6	0.950862	0.117162
0.7	0.941323	0.163452
0.8	0.931869	0.216124
0.9	0.922505	0.274416
1	0.913234	0.337525
1.1	0.904055	0.40462
1.2	0.894968	0.474852
1.3	0.885973	0.547363
1.4	0.877068	0.621294
1.5	0.868252	0.695792
1.6	0.859525	0.770024
1.7	0.850886	0.843178
1.8	0.842333	0.914476
1.9	0.833867	0.983177
2	0.825486	1.04858
2.1	0.817188	1.11005
2.2	0.808975	1.16699
2.3	0.800844	1.21887
2.4	0.792794	1.26523
2.5	0.784826	1.30566
2.6	0.776937	1.33983
2.7	0.769128	1.36749
2.8	0.761397	1.38846
2.9	0.753744	1.4026
3	0.746168	1.40988
3.1	0.738669	1.41031
3.2	0.731244	1.404
3.3	0.723894	1.3911
3.4	0.716618	1.37183
3.5	0.709415	1.34646
3.6	0.702285	1.31532
3.7	0.695226	1.2788
3.8	0.688238	1.23732
3.9	0.681321	1.19134
4	0.674472	1.14137
4.1	0.667693	1.08792
4.2	0.660982	1.03154
4.3	0.654338	0.972802
4.4	0.647762	0.912274
4.5	0.641251	0.850533
4.6	0.634805	0.788157
4.7	0.628425	0.725713
4.8	0.622108	0.663757
4.9	0.615855	0.602827
5	0.609665	0.543439
5.1	0.603538	0.48608
5.2	0.597471	0.431207
5.3	0.591466	0.37924
5.4	0.585521	0.330563
5.5	0.579636	0.285516
5.6	0.57381	0.244398
5.7	0.568042	0.20746
5.8	0.562333	0.174908
5.9	0.556681	0.146899
6	0.551085	0.123543
6.1	0.545546	0.1049
6.2	0.540063	0.0909844
6.3	0.534635	0.0817638
6.4	0.529261	0.0771602
6.5	0.523941	0.0770528
6.6	0.518675	0.0812801
6.7	0.513462	0.089642
6.8	0.508301	0.101903
6.9	0.503192	0.117797
7	0.498134	0.137026
7.1	0.493127	0.159269
7.2	0.488171	0.184185
7.3	0.483264	0.211412
7.4	0.478407	0.240578
7.5	0.473598	0.2713
7.6	0.468838	0.303189
7.7	0.464125	0.335855
7.8	0.45946	0.368912
7.9	0.454842	0.401978
8	0.450271	0.434682
8.1	0.445745	0.466664
8.2	0.441265	0.497585
8.3	0.436829	0.527121
8.4	0.432439	0.554971
8.5	0.428092	0.580861
8.6	0.423789	0.60454
8.7	0.41953	0.625788
8.8	0.415313	0.644414
8.9	0.411139	0.660257
9	0.407006	0.67319
9.1	0.402915	0.683117
9.2	0.398865	0.689973
9.3	0.394856	0.693728
9.4	0.390888	0.694383
9.5	0.386959	0.691969
9.6	0.383069	0.686547
9.7	0.379219	0.678207
9.8	0.375407	0.667066
9.9	0.371634	0.653267
10	0.367899	0.636974
10.1	0.364201	0.618373
10.2	0.36054	0.597669
10.3	0.356916	0.575083
10.4	0.353329	0.550849
10.5	0.349778	0.525212
10.6	0.346262	0.498424
10.7	0.342782	0.470745
10.8	0.339336	0.442436
10.9	0.335925	0.413757
11	0.332549	0.384969
11.1	0.329206	0.356325
11.2	0.325898	0.328071
11.3	0.322622	0.300446
11.4	0.319379	0.273673
11.5	0.316169	0.247965
11.6	0.312991	0.223517
11.7	0.309845	0.20051
11.8	0.306731	0.179103
11.9	0.303648	0.159439
12	0.300596	0.141638
12.1	0.297575	0.125801
12.2	0.294584	0.112005
12.3	0.291623	0.100308
12.4	0.288691	0.0907446
12.5	0.28579	0.0833273
12.6	0.282917	0.0780486
12.7	0.280074	0.0748797
12.8	0.277258	0.0737723
12.9	0.274472	0.074659
13	0.271713	0.0774546
13.1	0.268982	0.0820578
13.2	0.266278	0.0883519
13.3	0.263602	0.0962067
13.4	0.260952	0.10548
13.5	0.25833	0.11602
13.6	0.255733	0.127666
13.7	0.253163	0.14025
13.8	0.250618	0.153599
13.9	0.248099	0.16754
14	0.245605	0.181894
14.1	0.243137	0.196486
14.2	0.240693	0.211141
14.3	0.238274	0.225691
14.4	0.235879	0.23997
14.5	0.233508	0.253822
14.6	0.231161	0.267096
14.7	0.228837	0.279653
14.8	0.226537	0.291365
14.9	0.22426	0.302115
15	0.222006	0.311797
