t	x	error
0	1	0
0.1	0.995321	0.000275302
0.2	0.982476	0.00208186
0.3	0.963063	0.00663212
0.4	0.938447	0.0148262
0.5	0.909795	0.027288
0.6	0.878098	0.0443978
0.7	0.844194	0.0663231
0.8	0.808791	0.0930466
0.9	0.772481	0.124392
1	0.735758	0.160049
1.1	0.699028	0.199593
1.2	0.662626	0.242511
1.3	0.626822	0.288213
1.4	0.591832	0.336058
1.5	0.557825	0.385365
1.6	0.52493	0.435429
1.7	0.493245	0.485537
1.8	0.462836	0.534979
1.9	0.433748	0.583058
2	0.406005	0.629103
2.1	0.379614	0.672477
2.2	0.35457	0.712585
2.3	0.330854	0.74888
2.4	0.308441	0.780872
2.5	0.287297	0.808127
2.6	0.267385	0.83028
2.7	0.24866	0.847027
2.8	0.231078	0.858136
2.9	0.21459	0.863444
3	0.199148	0.862856
3.1	0.184702	0.856348
3.2	0.171201	0.843962
3.3	0.158598	0.825807
3.4	0.146842	0.802053
3.5	0.135888	0.772931
3.6	0.125689	0.738727
3.7	0.116201	0.699776
3.8	0.10738	0.656462
3.9	0.0991854	0.609208
4	0.0915782	0.558473
4.1	0.0845206	0.504745
4.2	0.077977	0.448536
4.3	0.0719134	0.390377
4.4	0.0662977	0.33081
4.5	0.0610995	0.270382
4.6	0.0562903	0.209642
4.7	0.0518431	0.149131
4.8	0.0477326	0.089381
4.9	0.0439349	0.0309067
5	0.0404277	0.0257985
5.1	0.0371902	0.0802671
5.2	0.0342027	0.132062
5.3	0.0314471	0.180779
5.4	0.0289061	0.226052
5.5	0.026564	0.267556
5.6	0.0244059	0.305006
5.7	0.022418	0.338164
5.8	0.0205874	0.366838
5.9	0.0189022	0.39088
6	0.0173513	0.410192
6.1	0.0159244	0.424722
6.2	0.0146119	0.434467
6.3	0.013405	0.439466
6.4	0.0122955	0.439805
6.5	0.0112758	0.435613
6.6	0.0103388	0.427056
6.7	0.00947804	0.414342
6.8	0.00868746	0.39771
6.9	0.00796152	0.377434
7	0.00729507	0.353813
7.1	0.00668337	0.327175
7.2	0.00612202	0.297864
7.3	0.00560699	0.266245
7.4	0.00513454	0.232694
7.5	0.00470123	0.197597
7.6	0.00430389	0.161345
7.7	0.00393961	0.12433
7.8	0.00360568	0.0869425
7.9	0.00329963	0.0495646
8	0.00301917	0.0125699
8.1	0.00276222	0.0236818
8.2	0.00252682	0.0588473
8.3	0.00231121	0.0926027
8.4	0.00211376	0.124647
8.5	0.00193296	0.154702
8.6	0.00176742	0.182518
8.7	0.00161589	0.207875
8.8	0.00147719	0.230578
8.9	0.00135026	0.250469
9	0.0012341	0.267418
9.1	0.00112783	0.281329
9.2	0.00103061	0.292138
9.3	0.000941674	0.299814
9.4	0.000860334	0.304356
9.5	0.000785948	0.305796
9.6	0.000717928	0.304195
9.7	0.000655736	0.299644
9.8	0.00059888	0.292258
9.9	0.000546907	0.28218
10	0.000499402	0.269574
10.1	0.000455985	0.254628
10.2	0.00041631	0.237546
10.3	0.000380056	0.218547
10.4	0.000346932	0.197867
10.5	0.000316671	0.175751
10.6	0.000289027	0.152451
10.7	0.000263777	0.128227
10.8	0.000240715	0.10334
10.9	0.000219654	0.0780514
11	0.000200422	0.0526204
11.1	0.00018286	0.0273013
11.2	0.000166826	0.00234074
11.3	0.000152188	0.022024
11.4	0.000138825	0.0455674
11.5	0.000126627	0.0680776
11.6	0.000115493	0.0893583
11.7	0.000105332	0.10923
11.8	9.6059e-05	0.127531
11.9	8.75968e-05	0.144121
12	7.98753e-05	0.158878
12.1	7.28301e-05	0.171701
12.2	6.64025e-05	0.182512
12.3	6.05386e-05	0.191254
12.4	5.51895e-05	0.197892
12.5	5.03102e-05	0.202412
12.6	4.58597e-05	0.204823
12.7	4.18007e-05	0.205152
12.8	3.80989e-05	0.203448
12.9	3.47232e-05	0.199778
13	3.16448e-05	0.194227
13.1	2.8838e-05	0.186895
13.2	2.62787e-05	0.1779
13.3	2.39454e-05	0.167371
13.4	2.18182e-05	0.15545
13.5	1.98791e-05	0.142289
13.6	1.81114e-05	0.128049
13.7	1.65001e-05	0.112896
13.8	1.50315e-05	0.0970035
13.9	1.36929e-05	0.0805457
14	1.2473e-05	0.0636991
14.1	1.13613e-05	0.0466397
14.2	1.03482e-05	0.0295411
14.3	9.42506e-06	0.012573
14.4	8.58389e-06	0.00410039
14.5	7.81746e-06	0.0203218
14.6	7.11916e-06	0.0359423
14.7	6.48298e-06	0.0508225
14.8	5.90341e-06	0.064834
14.9	5.37543e-06	0.0778598
15	4.89448e-06	0.0897958
