t	x	error
0	1	0
0.5	0.908854	0.0263472
1	0.734762	0.159053
1.5	0.55705	0.38459
2	0.405486	0.628584
2.5	0.286984	0.807815
3	0.198979	0.862687
3.5	0.13581	0.772854
4	0.0915533	0.558448
4.5	0.0611023	0.270385
5	0.0404429	0.0257834
5.5	0.0265831	0.267537
6	0.0173698	0.410173
6.5	0.0112918	0.435597
7	0.00730805	0.3538
7.5	0.00471131	0.197587
8	0.00302676	0.0125623
8.5	0.00193853	0.154707
9	0.00123812	0.267422
9.5	0.000788804	0.305799
10	0.000501405	0.269576
10.5	0.000318062	0.175752
11	0.000201378	0.0526214
11.5	0.00012728	0.068077
12	8.03179e-05	0.158877
12.5	5.06083e-05	0.202412
13	3.18446e-05	0.194226
13.5	2.00123e-05	0.142289
14	1.25614e-05	0.063699
14.5	7.87591e-06	0.0203218
15	4.93299e-06	0.0897959
