t	x	error
0	1	0
0.25	0.969554	4.21011e-06
0.5	0.882518	1.12351e-05
0.75	0.747568	1.98034e-05
1	0.575737	2.85091e-05
1.25	0.379618	3.596e-05
1.5	0.172501	4.09159e-05
1.75	-0.0324654	4.24075e-05
2	-0.223058	3.98248e-05
2.25	-0.388661	3.29705e-05
2.5	-0.520808	2.20754e-05
2.75	-0.613561	7.77519e-06
3	-0.663717	8.94661e-06
3.25	-0.670833	2.68451e-05
3.5	-0.637088	4.4521e-05
3.75	-0.566991	6.05388e-05
4	-0.466968	7.35467e-05
4.25	-0.344862	8.23888e-05
4.5	-0.209369	8.62004e-05
4.75	-0.0694654	8.44793e-05
5	0.0661491	7.71284e-05
5.25	0.189561	6.44674e-05
5.5	0.294073	4.72111e-05
5.75	0.374529	2.64196e-05
6	0.427539	3.42202e-06
6.25	0.451571	2.02787e-05
6.5	0.446932	4.31135e-05
6.75	0.415637	6.35585e-05
7	0.361189	8.02422e-05
7.25	0.288271	9.20413e-05
7.5	0.202396	9.8158e-05
7.75	0.109526	9.81735e-05
8	0.0156811	9.20747e-05
8.25	-0.0734237	8.02529e-05
8.5	-0.152705	6.34743e-05
8.75	-0.217981	4.28257e-05
9	-0.266165	1.96386e-05
9.25	-0.295388	4.60111e-06
9.5	-0.305038	2.83536e-05
9.75	-0.29572	5.01267e-05
10	-0.269144	6.8573e-05
10.25	-0.227956	8.25753e-05
10.5	-0.175526	9.13163e-05
10.75	-0.115692	9.43257e-05
11	-0.0525115	9.15048e-05
11.25	0.0100067	8.31264e-05
11.5	0.0681344	6.98095e-05
11.75	0.118634	5.2473e-05
12	0.158925	3.2271e-05
12.25	0.187197	1.05136e-05
12.5	0.202474	1.14193e-05
12.75	0.204623	3.21674e-05
13	0.194309	5.04759e-05
13.25	0.172909	6.52721e-05
13.5	0.142385	7.57284e-05
13.75	0.105129	8.13084e-05
14	0.0637934	8.17931e-05
14.25	0.0211175	7.72859e-05
14.5	-0.0202458	6.81973e-05
14.75	-0.057883	5.52112e-05
15	-0.0897517	3.92335e-05
