t	x	error
0	1	0
0.5	0.88265	0.000142732
1	0.576138	0.000429247
1.5	0.173146	0.000686101
2	-0.222344	0.000754058
2.5	-0.520282	0.000548418
3	-0.663619	8.9283e-05
3.5	-0.637549	0.000505476
4	-0.467954	0.0010597
4.5	-0.210679	0.00139649
5	0.0648311	0.00139509
5.5	0.29309	0.00102959
6	0.427164	0.000378605
6.5	0.447284	0.000396088
7	0.362203	0.00109472
7.5	0.203833	0.0015349
8	0.0171905	0.00160138
8.5	-0.151492	0.00127645
9	-0.265541	0.000643479
9.5	-0.305147	0.000136633
10	-0.269944	0.000868672
10.5	-0.176808	0.00137399
11	-0.0539553	0.00153534
11.5	0.0668798	0.0013244
12	0.158152	0.00080555
12.5	0.202346	0.00011616
13	0.194829	0.000570547
13.5	0.143399	0.00108982
14	0.0650369	0.00132537
14.5	-0.0190786	0.00123535
15	-0.0889324	0.000858568
