t	x	error
0	1	0
0.25	0.978678	0.00912897
0.5	0.956529	0.0740222
0.75	0.934084	0.186536
1	0.911669	0.33596
1.25	0.889482	0.5099
1.5	0.867642	0.695182
1.75	0.846218	0.878726
2	0.825248	1.04835
2.25	0.804751	1.19344
2.5	0.784733	1.30556
2.75	0.765195	1.37876
3	0.746132	1.40984
3.25	0.727537	1.39834
3.5	0.709401	1.34644
3.75	0.691714	1.25864
4	0.674467	1.14136
4.25	0.657648	1.00243
4.5	0.641249	0.850531
4.75	0.625257	0.694638
5	0.609665	0.543438
5.25	0.594461	0.404835
5.5	0.579636	0.285516
5.75	0.56518	0.190625
6	0.551085	0.123542
6.25	0.537342	0.085791
6.5	0.523941	0.0770528
6.75	0.510875	0.0953012
7	0.498134	0.137026
7.25	0.485711	0.197533
7.5	0.473598	0.2713
7.75	0.461787	0.352359
8	0.450271	0.434682
8.25	0.439041	0.512545
8.5	0.428092	0.580861
8.75	0.417416	0.63544
9	0.407006	0.67319
9.25	0.396856	0.692239
9.5	0.386959	0.691969
9.75	0.377308	0.672978
10	0.367899	0.636974
10.25	0.358724	0.586597
10.5	0.349778	0.525212
10.75	0.341055	0.456653
11	0.332549	0.384969
11.25	0.324256	0.314166
11.5	0.316169	0.247965
11.75	0.308284	0.189597
12	0.300596	0.141638
12.25	0.293099	0.105892
12.5	0.28579	0.0833273
12.75	0.278662	0.0740721
13	0.271713	0.0774546
13.25	0.264937	0.0920928
13.5	0.25833	0.11602
13.75	0.251887	0.14684
14	0.245605	0.181894
14.25	0.23948	0.21844
14.5	0.233508	0.253822
14.75	0.227684	0.285623
15	0.222006	0.311797
