t	x	error
0	1	0
0.1	0.995046	4.14847e-08
0.2	0.980395	9.57829e-08
0.3	0.956431	1.61002e-07
0.4	0.923621	2.35085e-07
0.5	0.882507	3.15846e-07
0.6	0.8337	4.01011e-07
0.7	0.777871	4.88258e-07
0.8	0.715745	5.75254e-07
0.9	0.64809	6.59697e-07
1	0.57571	7.39348e-07
1.1	0.499436	8.12072e-07
1.2	0.420117	8.75866e-07
1.3	0.33861	9.28894e-07
1.4	0.255775	9.6951e-07
1.5	0.172461	9.96287e-07
1.6	0.0895022	1.00803e-06
1.7	0.00770846	1.00381e-06
1.8	-0.0721419	9.82946e-07
1.9	-0.149309	9.45049e-07
2	-0.223097	8.90002e-07
2.1	-0.292862	8.17971e-07
2.2	-0.358015	7.294e-07
2.3	-0.418026	6.25004e-07
2.4	-0.47243	5.05754e-07
2.5	-0.52083	3.7287e-07
2.6	-0.562895	2.27796e-07
2.7	-0.598367	7.21833e-08
2.8	-0.627058	9.21356e-08
2.9	-0.648854	2.63171e-07
3	-0.663708	4.38803e-07
3.1	-0.671647	6.16816e-07
3.2	-0.672762	7.94923e-07
3.3	-0.66721	9.708e-07
3.4	-0.655212	1.14212e-06
3.5	-0.637044	1.30658e-06
3.6	-0.613039	1.46193e-06
3.7	-0.583577	1.60601e-06
3.8	-0.549084	1.73679e-06
3.9	-0.510025	1.85237e-06
4	-0.466897	1.95101e-06
4.1	-0.420226	2.03118e-06
4.2	-0.370561	2.09155e-06
4.3	-0.318466	2.13104e-06
4.4	-0.264514	2.14879e-06
4.5	-0.209285	2.14421e-06
4.6	-0.153353	2.11698e-06
4.7	-0.0972898	2.06704e-06
4.8	-0.0416504	1.9946e-06
4.9	0.0130263	1.90015e-06
5	0.0662245	1.78445e-06
5.1	0.117456	1.64849e-06
5.2	0.166263	1.49354e-06
5.3	0.212225	1.32108e-06
5.4	0.254957	1.1328e-06
5.5	0.294119	9.30609e-07
5.6	0.329411	7.16559e-07
5.7	0.360582	4.92867e-07
5.8	0.387425	2.61869e-07
5.9	0.409782	2.59985e-08
6	0.427543	2.12246e-07
6.1	0.440647	4.50326e-07
6.2	0.449079	6.85694e-07
6.3	0.452872	9.1582e-07
6.4	0.452102	1.13823e-06
6.5	0.44689	1.35051e-06
6.6	0.437396	1.55037e-06
6.7	0.423821	1.73563e-06
6.8	0.406399	1.90429e-06
6.9	0.385397	2.05451e-06
7	0.361111	2.18464e-06
7.1	0.33386	2.29325e-06
7.2	0.303988	2.37916e-06
7.3	0.271854	2.44142e-06
7.4	0.237831	2.47932e-06
7.5	0.202301	2.49244e-06
7.6	0.165651	2.4806e-06
7.7	0.128272	2.4439e-06
7.8	0.0905506	2.3827e-06
7.9	0.0528665	2.29763e-06
8	0.0155913	2.18957e-06
8.1	-0.0209175	2.05963e-06
8.2	-0.0563185	1.90916e-06
8.3	-0.0902897	1.73973e-06
8.4	-0.122531	1.5531e-06
8.5	-0.152768	1.3512e-06
8.6	-0.18075	1.13613e-06
8.7	-0.206258	9.10122e-07
8.8	-0.2291	6.75501e-07
8.9	-0.249118	4.34688e-07
9	-0.266184	1.90158e-07
9.1	-0.280202	5.55859e-08
9.2	-0.291108	3.00035e-07
9.3	-0.298873	5.40707e-07
9.4	-0.303496	7.75167e-07
9.5	-0.305011	1.00106e-06
9.6	-0.303479	1.21611e-06
9.7	-0.298989	1.4182e-06
9.8	-0.29166	1.60534e-06
9.9	-0.281634	1.77569e-06
10	-0.269077	1.92761e-06
10.1	-0.254174	2.05965e-06
10.2	-0.237131	2.17059e-06
10.3	-0.218169	2.25943e-06
10.4	-0.197523	2.32537e-06
10.5	-0.175437	2.3679e-06
10.6	-0.152165	2.38672e-06
10.7	-0.127966	2.3818e-06
10.8	-0.103102	2.35331e-06
10.9	-0.077834	2.30172e-06
11	-0.0524222	2.22769e-06
11.1	-0.0271205	2.13211e-06
11.2	-0.00217593	2.01611e-06
11.3	0.0221743	1.88099e-06
11.4	0.0457045	1.72824e-06
11.5	0.0682027	1.55954e-06
11.6	0.0894724	1.3767e-06
11.7	0.109334	1.18166e-06
11.8	0.127627	9.76475e-07
11.9	0.144208	7.63285e-07
12	0.158957	5.44291e-07
12.1	0.171773	3.21737e-07
12.2	0.182578	9.78809e-08
12.3	0.191314	1.25024e-07
12.4	0.197947	3.44754e-07
12.5	0.202463	5.59139e-07
12.6	0.204869	7.66081e-07
12.7	0.205195	9.63579e-07
12.8	0.203487	1.14975e-06
12.9	0.199814	1.32282e-06
13	0.19426	1.48121e-06
13.1	0.186926	1.62346e-06
13.2	0.177928	1.74831e-06
13.3	0.167397	1.85468e-06
13.4	0.155474	1.9417e-06
13.5	0.142311	2.00869e-06
13.6	0.128069	2.05518e-06
13.7	0.112915	2.08092e-06
13.8	0.0970207	2.08587e-06
13.9	0.0805614	2.07019e-06
14	0.0637136	2.03426e-06
14.1	0.0466531	1.97865e-06
14.2	0.0295534	1.90413e-06
14.3	0.0125842	1.81164e-06
14.4	-0.0040901	1.70229e-06
14.5	-0.0203124	1.57738e-06
14.6	-0.0359337	1.4383e-06
14.7	-0.0508148	1.28661e-06
14.8	-0.064827	1.12395e-06
14.9	-0.0778535	9.52072e-07
15	-0.0897902	7.72787e-07
