t	x	error
0	1	0
0.5	0.825521	0.0569862
1	-0.855082	1.43079
1.5	-22.2899	22.4623
2	-302.456	302.233
2.5	-3971.03	3970.51
3	-52014.7	52014
3.5	-681200	681199
4	-8.92109e+06	8.92109e+06
4.5	-1.16832e+08	1.16832e+08
5	-1.53004e+09	1.53004e+09
5.5	-2.00377e+10	2.00377e+10
6	-2.62416e+11	2.62416e+11
6.5	-3.43663e+12	3.43663e+12
7	-4.50066e+13	4.50066e+13
7.5	-5.89412e+14	5.89412e+14
8	-7.71902e+15	7.71902e+15
8.5	-1.01089e+17	1.01089e+17
9	-1.32388e+18	1.32388e+18
9.5	-1.73377e+19	1.73377e+19
10	-2.27057e+20	2.27057e+20
10.5	-2.97356e+21	2.97356e+21
11	-3.89422e+22	3.89422e+22
11.5	-5.09992e+23	5.09992e+23
12	-6.67892e+24	6.67892e+24
12.5	-8.7468e+25	8.7468e+25
13	-1.14549e+27	1.14549e+27
13.5	-1.50015e+28	1.50015e+28
14	-1.96462e+29	1.96462e+29
14.5	-2.57289e+30	2.57289e+30
15	-3.36949e+31	3.36949e+31
