t	y
0	1
0.0625	0.93125
0.125	0.867454
0.1875	0.808664
0.25	0.754845
0.3125	0.705898
0.375	0.661676
0.4375	0.622001
0.5	0.586679
0.5625	0.555512
0.625	0.528306
0.6875	0.504883
0.75	0.485087
0.8125	0.468791
0.875	0.455904
0.9375	0.446376
1	0.440208
1.0625	0.437457
1.125	0.438247
1.1875	0.442784
1.25	0.451367
1.3125	0.464414
1.375	0.482488
1.4375	0.506329
1.5	0.536912
1.5625	0.575502
1.625	0.623751
1.6875	0.683812
1.75	0.758503
1.8125	0.851539
1.875	0.967835
1.9375	1.11396
2	1.29873
