t	error
0	0
0.03125	0.000593937
0.0625	0.00117491
0.09375	0.00174041
0.125	0.00228845
0.15625	0.00281751
0.1875	0.00332651
0.21875	0.00381477
0.25	0.00428198
0.28125	0.00472817
0.3125	0.00515363
0.34375	0.00555896
0.375	0.00594496
0.40625	0.00631264
0.4375	0.00666322
0.46875	0.00699805
0.5	0.00731863
0.53125	0.00762659
0.5625	0.00792368
0.59375	0.00821174
0.625	0.00849271
0.65625	0.00876864
0.6875	0.00904166
0.71875	0.00931402
0.75	0.00958805
0.78125	0.00986623
0.8125	0.0101511
0.84375	0.0104456
0.875	0.0107524
0.90625	0.0110748
0.9375	0.0114161
0.96875	0.01178
1	0.0121705
1.03125	0.0125919
1.0625	0.0130491
1.09375	0.0135474
1.125	0.0140928
1.15625	0.0146921
1.1875	0.0153526
1.21875	0.0160831
1.25	0.0168933
1.28125	0.0177941
1.3125	0.0187985
1.34375	0.0199209
1.375	0.0211783
1.40625	0.0225903
1.4375	0.0241794
1.46875	0.0259723
1.5	0.0279996
1.53125	0.0302976
1.5625	0.0329087
1.59375	0.035883
1.625	0.0392794
1.65625	0.043168
1.6875	0.0476318
1.71875	0.0527698
1.75	0.0587
1.78125	0.065564
1.8125	0.0735317
1.84375	0.0828078
1.875	0.0936394
1.90625	0.106326
1.9375	0.121232
1.96875	0.1388
2	0.159574
